row	column	strain
1	1	N169
1	2	M85
1	3	N425
1	4	M861
1	5	N495
1	6	M853
1	7	N619
1	8	MKP103
1	9	N627
1	10	J712
1	11	N685
1	12	J586
1	13	N78
1	14	J791
1	15	N81
1	16	J727
1	17	N846
1	18	M924
1	19	N887
1	20	JZ79
1	21	N888
1	22	J57
1	23	N895
1	24	J54
2	1	RKPB188
2	2	RKPR132
2	3	RKPB189
2	4	RKPB456
2	5	RKPB170
2	6	RKPB457
2	7	RKPB566
2	8	RKPB458
2	9	RKPB172
2	10	RKPB459
2	11	RKPB173
2	12	RKPB460
2	13	RKPB174
2	14	RKPB461
2	15	RKPB176
2	16	RKPB442
2	17	RKPB177
2	18	RKPB443
2	19	RKPB178
2	20	RKPB444
2	21	RKPB179
2	22	RKPB446
2	23	RKPB158
2	24	RKPB447
3	1	N977
3	2	J461
3	3	N982
3	4	J248
3	5	Q104
3	6	J693
3	7	Q16
3	8	J268
3	9	Q160
3	10	J235
3	11	Q161
3	12	R1165
3	13	Q181
3	14	TK149
3	15	Q202
3	16	R1369
3	17	Q33
3	18	R1352
3	19	Q35
3	20	M1109
3	21	Q64
3	22	M851
3	23	T197
3	24	M556
4	1	RKPR120
4	2	RKPB448
4	3	MKPU269
4	4	RKPB450
4	5	RKPB162
4	6	RKPB451
4	7	RKPB163
4	8	RKPB452
4	9	RKPB164
4	10	RKPB430
4	11	RKPB165
4	12	RKPB431
4	13	RKPB166
4	14	RKPB432
4	15	RKPB167
4	16	RKPB434
4	17	RKPR123
4	18	RKPB435
4	19	RKPB149
4	20	RKPB436
4	21	RKPB151
4	22	RKPB437
4	23	RKPB152
4	24	RKPB438
5	1	QF20
5	2	M538
5	3	QF22
5	4	M514
5	5	QF23
5	6	M290
5	7	QF24
5	8	MKP103
5	9	QF40
5	10	M88
5	11	R1011
5	12	JZ69
5	13	R1032
5	14	JZ36
5	15	DKPB003
5	16	JZ20
5	17	R1072
5	18	J818
5	19	R1076
5	20	J774
5	21	R119
5	22	J738
5	23	R128
5	24	J685
6	1	RKPB153
6	2	RKPB439
6	3	RKPB154
6	4	RKPB419
6	5	RKPB155
6	6	RKPB420
6	7	RKPB156
6	8	RKPB421
6	9	RKPB157
6	10	RKPB422
6	11	RKPB136
6	12	RKPB423
6	13	RKPB137
6	14	RKPB425
6	15	RKPB138
6	16	RKPB426
6	17	RKPB139
6	18	RKPB427
6	19	RKPB140
6	20	RKPB429
6	21	RKPB142
6	22	HKPU103
6	23	RKPB144
6	24	HKPU105
7	1	R224
7	2	J666
7	3	R234
7	4	J654
7	5	R240
7	6	J628
7	7	R241
7	8	J573
7	9	R272
7	10	J537
7	11	R273
7	12	J377
7	13	R275
7	14	J275
7	15	R276
7	16	J238
7	17	R290
7	18	J100
7	19	R291
7	20	J87
7	21	R292
7	22	HA-108
7	23	R293
7	24	HKPR016
8	1	RKPB146
8	2	RKPB917
8	3	RKPB147
8	4	RKPB966
8	5	RKPB125
8	6	RKPB991
8	7	RKPB126
8	8	MKPR030
8	9	RKPB127
8	10	RKPB960
8	11	RKPB129
8	12	RKPB962
8	13	RKPB130
8	14	RKPB961
8	15	RKPB131
8	16	RKPB914
8	17	RKPB132
8	18	MKPR042
8	19	RKPB134
8	20	MKPR012
8	21	RKPB135
8	22	MKPR013
8	23	RKPB116
8	24	MKPU083
9	1	R407
9	2	HKPR017
9	3	R409
9	4	R596
9	5	R424
9	6	R233
9	7	R493
9	8	R68
9	9	R55
9	10	MKPU130
9	11	R561
9	12	N1122
9	13	N824
9	14	N1104
9	15	R565
9	16	N1015
9	17	R567
9	18	N906
9	19	R571
9	20	MKPU131
9	21	R572
