ID,Row,Column,Plate
B14,1,1,1
N978,1,2,1
B26,1,3,1
N987,1,4,1
B42,1,5,1
N990,1,6,1
B53,1,7,1
S7,1,8,1
B54,1,9,1
13,1,10,1
Kp017,1,11,1
14,1,12,1
MKPU058,1,13,1
MKPU285,1,14,1
H150,1,15,1
MKPU128,1,16,1
H152,1,17,1
31,1,18,1
H159,1,19,1
32,1,20,1
H225,1,21,1
36,1,22,1
H246,1,23,1
40,1,24,1
RKPB096,2,1,1
RKPB313,2,2,1
RKPB097,2,3,1
RKPB314,2,4,1
RKPB099,2,5,1
RKPB315,2,6,1
MKPR014,2,7,1
RKPB316,2,8,1
RKPB101,2,9,1
RKPB317,2,10,1
RKPB102,2,11,1
RKPB298,2,12,1
RKPB103,2,13,1
RKPB297,2,14,1
RKPB558,2,15,1
RKPB296,2,16,1
RKPB086,2,17,1
RKPB300,2,18,1
RKPB087,2,19,1
RKPB301,2,20,1
RKPB088,2,21,1
RKPB303,2,22,1
RKPB089,2,23,1
RKPB304,2,24,1
H249,3,1,1
6,3,2,1
H251,3,3,1
7,3,4,1
H257,3,5,1
9,3,6,1
H262,3,7,1
R235,3,8,1
H264,3,9,1
R238,3,10,1
HA-107,3,11,1
R1020,3,12,1
MKPU062,3,13,1
R1300,3,14,1
HA-126,3,15,1
R848,3,16,1
HA127,3,17,1
N594,3,18,1
HA-3,3,19,1
N1101,3,20,1
HA61,3,21,1
N1145,3,22,1
HA94,3,23,1
R69,3,24,1
RKPB090,4,1,1
RKPB305,4,2,1
RKPB091,4,3,1
RKPB307,4,4,1
RKPB092,4,5,1
RKPB280,4,6,1
RKPB094,4,7,1
RKPU180,4,8,1
RKPB095,4,9,1
RKPB282,4,10,1
RKPB076,4,11,1
RKPB283,4,12,1
MKP103,4,13,1
RKPB286,4,14,1
MKPR015,4,15,1
RKPB287,4,16,1
RKPB080,4,17,1
RKPB290,4,18,1
RKPB081,4,19,1
RKPB292,4,20,1
RKPB082,4,21,1
HKPU090,4,22,1
RKPB083,4,23,1
RKPB254,4,24,1
J1093,5,1,1
T95,5,2,1
J1141,5,3,1
N889,5,4,1
J13,5,5,1
N643,5,6,1
J14,5,7,1
MKP103,5,8,1
J140,5,9,1
N30,5,10,1
J151,5,11,1
Q103,5,12,1
J180,5,13,1
Q109,5,14,1
J22,5,15,1
Q203,5,16,1
J245,5,17,1
Q204,5,18,1
J261,5,19,1
Q214,5,20,1
J267,5,21,1
Q97,5,22,1
J27,5,23,1
Q119,5,24,1
RKPB084,6,1,1
RKPB255,6,2,1
RKPB085,6,3,1
RKPB256,6,4,1
RKPB062,6,5,1
RKPB257,6,6,1
RKPB067,6,7,1
RKPB258,6,8,1
RKPB068,6,9,1
RKPB259,6,10,1
RKPB070,6,11,1
MKPR020,6,12,1
RKPB071,6,13,1
MKPR021,6,14,1
RKPB072,6,15,1
RKPB279,6,16,1
RKPB073,6,17,1
RKPB217,6,18,1
RKPB556,6,19,1
RKPB218,6,20,1
RKPB075,6,21,1
RKPB219,6,22,1
MKP103,6,23,1
RKPB220,6,24,1
J270,7,1,1
MKPU138,7,2,1
J3,7,3,1
Q137,7,4,1
J324,7,5,1
N1153,7,6,1
J427,7,7,1
T29,7,8,1
J436,7,9,1
R121,7,10,1
Kp038,7,11,1
T93,7,12,1
J491,7,13,1
T152,7,14,1
J51,7,15,1
T153,7,16,1
J52,7,17,1
T183,7,18,1
J550,7,19,1
DKPU111,7,20,1
J59,7,21,1
T96,7,22,1
J592,7,23,1
R1024,7,24,1
RKPB053,8,1,1
RKPB222,8,2,1
RKPB054,8,3,1
RKPB223,8,4,1
RKPB055,8,5,1
RKPB224,8,6,1
RKPB056,8,7,1
HKPU057,8,8,1
RKPB057,8,9,1
HKPU088,8,10,1
RKPB059,8,11,1
HKPU027,8,12,1
RKPB060,8,13,1
RKPB206,8,14,1
RKPB061,8,15,1
RKPB207,8,16,1
RKPB557,8,17,1
RKPR126,8,18,1
RKPB042,8,19,1
RKPB209,8,20,1
RKPB043,8,21,1
RKPB211,8,22,1
RKPB044,8,23,1
RKPB214,8,24,1
J60,9,1,1
R1298,9,2,1
J61,9,3,1
R120,9,4,1
J755,9,5,1
T97,9,6,1
HKPB55,9,7,1
MKPR038,9,8,1
J788,9,9,1
TK123,9,10,1
J798,9,11,1
T94,9,12,1
J82,9,13,1
Q166,9,14,1
J841,9,15,1
N1148,9,16,1
J876,9,17,1
N70,9,18,1
J878,9,19,1
R1251,9,20,1
J890,9,21,1
N1030,9,22,1
J907,9,23,1
N769,9,24,1
RKPB046,10,1,1
RKPB215,10,2,1
RKPB047,10,3,1
RKPR127,10,4,1
RKPB049,10,5,1
RKPB876,10,6,1
RKPB050,10,7,1
RKPB875,10,8,1
RKPB051,10,9,1
RKPB877,10,10,1
RKPB029,10,11,1
RKPB878,10,12,1
RKPB030,10,13,1
RKPB879,10,14,1
RKPB033,10,15,1
RKPB880,10,16,1
RKPB034,10,17,1
RKPB881,10,18,1
RKPB035,10,19,1
RKPB888,10,20,1
RKPB036,10,21,1
RKPB841,10,22,1
RKPB037,10,23,1
RKPB842,10,24,1
J911,11,1,1
MKPU119,11,2,1
M1128,11,3,1
N841,11,4,1
M1146,11,5,1
N1027,11,6,1
HKPB57,11,7,1
N1132,11,8,1
Kp04_s,11,9,1
R123,11,10,1
M1191,11,11,1
M1139,11,12,1
M120,11,13,1
M87,11,14,1
M1336,11,15,1
R374,11,16,1
M1345,11,17,1
R860,11,18,1
M1353,11,19,1
R1185,11,20,1
MKP103,11,21,1
R1356,11,22,1
M213,11,23,1
R1161,11,24,1
RKPB038,12,1,1
RKPB844,12,2,1
RKPB039,12,3,1
RKPB863,12,4,1
RKPB016,12,5,1
RKPB865,12,6,1
RKPB017,12,7,1
RKPB866,12,8,1
MKP103,12,9,1
RKPB867,12,10,1
RKPB019,12,11,1
RKPB868,12,12,1
RKPB022,12,13,1
RKPR128,12,14,1
RKPB023,12,15,1
RKPB814,12,16,1
RKPB024,12,17,1
RKPB815,12,18,1
RKPB025,12,19,1
RKPB816,12,20,1
RKPB027,12,21,1
RKPB817,12,22,1
RKPB001,12,23,1
MKPU201,12,24,1
M221,13,1,1
M31,13,2,1
M254,13,3,1
J242,13,4,1
M269,13,5,1
R70,13,6,1
M278,13,7,1
M824,13,8,1
M471,13,9,1
M462,13,10,1
M478,13,11,1
M495,13,12,1
Kp051,13,13,1
J819,13,14,1
M504,13,15,1
J70,13,16,1
Kp064,13,17,1
J181,13,18,1
M558,13,19,1
J197,13,20,1
RKPB284,13,21,1
R408,13,22,1
N25,13,23,1
R1350,13,24,1
RKPB002,14,1,1
RKPB820,14,2,1
RKPB004,14,3,1
RKPB821,14,4,1
RKPB006,14,5,1
RKPB822,14,6,1
RKPB007,14,7,1
RKPB840,14,8,1
RKPB009,14,9,1
RKPB513,14,10,1
MKPB263,14,11,1
RKPB803,14,12,1
RKPB011,14,13,1
RKPB804,14,14,1
RKPB014,14,15,1
RKPB805,14,16,1
RKPB193,14,17,1
RKPB806,14,18,1
RKPB194,14,19,1
RKPB808,14,20,1
RKPB195,14,21,1
RKPB811,14,22,1
RKPB560,14,23,1
MKPU203,14,24,1
M615,15,1,1
J62,15,2,1
M825,15,3,1
JZ68,15,4,1
M873,15,5,1
JZ82,15,6,1
M891,15,7,1
Tb72,15,8,1
M905,15,9,1
MKPR017,15,10,1
M936,15,11,1
J220,15,12,1
MK75,15,13,1
J333,15,14,1
N1029,15,15,1
J561,15,16,1
N1049,15,17,1
J814,15,18,1
N1050,15,19,1
M203,15,20,1
N1072,15,21,1
3,15,22,1
N1079,15,23,1
19,15,24,1
RKPB561,16,1,1
RKPR130,16,2,1
RKPB201,16,3,1
RKPB463,16,4,1
RKPB202,16,5,1
RKPB464,16,6,1
RKPB203,16,7,1
RKPB465,16,8,1
RKPB204,16,9,1
RKPB466,16,10,1
RKPB180,16,11,1
RKPB467,16,12,1
RKPB181,16,13,1
RKPB468,16,14,1
MKPB267,16,15,1
RKPB510,16,16,1
RKPB183,16,17,1
RKPB511,16,18,1
RKPB184,16,19,1
RKPB512,16,20,1
RKPB562,16,21,1
RKPB453,16,22,1
RKPB187,16,23,1
RKPR131,16,24,1
N169,1,1,2
M85,1,2,2
N425,1,3,2
M861,1,4,2
N495,1,5,2
M853,1,6,2
N619,1,7,2
MKP103,1,8,2
N627,1,9,2
J712,1,10,2
N685,1,11,2
J586,1,12,2
N78,1,13,2
J791,1,14,2
N81,1,15,2
J727,1,16,2
N846,1,17,2
M924,1,18,2
N887,1,19,2
JZ79,1,20,2
N888,1,21,2
J57,1,22,2
N895,1,23,2
J54,1,24,2
RKPB188,2,1,2
RKPR132,2,2,2
RKPB189,2,3,2
RKPB456,2,4,2
RKPB170,2,5,2
RKPB457,2,6,2
RKPB566,2,7,2
RKPB458,2,8,2
RKPB172,2,9,2
RKPB459,2,10,2
RKPB173,2,11,2
RKPB460,2,12,2
RKPB174,2,13,2
RKPB461,2,14,2
RKPB176,2,15,2
RKPB442,2,16,2
RKPB177,2,17,2
RKPB443,2,18,2
RKPB178,2,19,2
RKPB444,2,20,2
RKPB179,2,21,2
RKPB446,2,22,2
RKPB158,2,23,2
RKPB447,2,24,2
N977,3,1,2
J461,3,2,2
N982,3,3,2
J248,3,4,2
Q104,3,5,2
J693,3,6,2
Q16,3,7,2
J268,3,8,2
Q160,3,9,2
J235,3,10,2
Q161,3,11,2
R1165,3,12,2
Q181,3,13,2
TK149,3,14,2
Q202,3,15,2
R1369,3,16,2
Q33,3,17,2
R1352,3,18,2
Q35,3,19,2
M1109,3,20,2
Q64,3,21,2
M851,3,22,2
T197,3,23,2
M556,3,24,2
RKPR120,4,1,2
RKPB448,4,2,2
MKPU269,4,3,2
RKPB450,4,4,2
RKPB162,4,5,2
RKPB451,4,6,2
RKPB163,4,7,2
RKPB452,4,8,2
RKPB164,4,9,2
RKPB430,4,10,2
RKPB165,4,11,2
RKPB431,4,12,2
RKPB166,4,13,2
RKPB432,4,14,2
RKPB167,4,15,2
RKPB434,4,16,2
RKPR123,4,17,2
RKPB435,4,18,2
RKPB149,4,19,2
RKPB436,4,20,2
RKPB151,4,21,2
RKPB437,4,22,2
RKPB152,4,23,2
RKPB438,4,24,2
QF20,5,1,2
M538,5,2,2
QF22,5,3,2
M514,5,4,2
QF23,5,5,2
M290,5,6,2
QF24,5,7,2
MKP103,5,8,2
QF40,5,9,2
M88,5,10,2
R1011,5,11,2
JZ69,5,12,2
R1032,5,13,2
JZ36,5,14,2
DKPB003,5,15,2
JZ20,5,16,2
R1072,5,17,2
J818,5,18,2
R1076,5,19,2
J774,5,20,2
R119,5,21,2
J738,5,22,2
R128,5,23,2
J685,5,24,2
RKPB153,6,1,2
RKPB439,6,2,2
RKPB154,6,3,2
RKPB419,6,4,2
RKPB155,6,5,2
RKPB420,6,6,2
RKPB156,6,7,2
RKPB421,6,8,2
RKPB157,6,9,2
RKPB422,6,10,2
RKPB136,6,11,2
RKPB423,6,12,2
RKPB137,6,13,2
RKPB425,6,14,2
RKPB138,6,15,2
RKPB426,6,16,2
RKPB139,6,17,2
RKPB427,6,18,2
RKPB140,6,19,2
RKPB429,6,20,2
RKPB142,6,21,2
HKPU103,6,22,2
RKPB144,6,23,2
HKPU105,6,24,2
R224,7,1,2
J666,7,2,2
R234,7,3,2
J654,7,4,2
R240,7,5,2
J628,7,6,2
R241,7,7,2
J573,7,8,2
R272,7,9,2
J537,7,10,2
R273,7,11,2
J377,7,12,2
R275,7,13,2
J275,7,14,2
R276,7,15,2
J238,7,16,2
R290,7,17,2
J100,7,18,2
R291,7,19,2
J87,7,20,2
R292,7,21,2
HA-108,7,22,2
R293,7,23,2
HKPR016,7,24,2
RKPB146,8,1,2
RKPB917,8,2,2
RKPB147,8,3,2
RKPB966,8,4,2
RKPB125,8,5,2
RKPB991,8,6,2
RKPB126,8,7,2
MKPR030,8,8,2
RKPB127,8,9,2
RKPB960,8,10,2
RKPB129,8,11,2
RKPB962,8,12,2
RKPB130,8,13,2
RKPB961,8,14,2
RKPB131,8,15,2
RKPB914,8,16,2
RKPB132,8,17,2
MKPR042,8,18,2
RKPB134,8,19,2
MKPR012,8,20,2
RKPB135,8,21,2
MKPR013,8,22,2
RKPB116,8,23,2
MKPU083,8,24,2
R407,9,1,2
HKPR017,9,2,2
R409,9,3,2
R596,9,4,2
R424,9,5,2
R233,9,6,2
R493,9,7,2
R68,9,8,2
R55,9,9,2
MKPU130,9,10,2
R561,9,11,2
N1122,9,12,2
N824,9,13,2
N1104,9,14,2
R565,9,15,2
N1015,9,16,2
R567,9,17,2
N906,9,18,2
R571,9,19,2
MKPU131,9,20,2
R572,9,21,2
N675,9,22,2
R58,9,23,2
N665,9,24,2
RKPB117,10,1,2
MKPU135,10,2,2
RKPB118,10,3,2
JKPB619,10,4,2
RKPB119,10,5,2
MKPU047,10,6,2
RKPB120,10,7,2
RKPU087,10,8,2
RKPB121,10,9,2
HKPU002,10,10,2
RKPB122,10,11,2
MKPU122,10,12,2
RKPB124,10,13,2
MKPU126,10,14,2
RKPB123,10,15,2
MKPU127,10,16,2
RKPB106,10,17,2
DKPU074,10,18,2
RKPB107,10,19,2
DKPB001,10,20,2
